Age,Bodymass,Height,Education,Martial_Status,Occupation,Race,Sex,Hours_per_week,Country,Target
32,46.91,184.89, Bachelors, Separated, Prof-specialty, White, Male,40.0, United-States, >50K.
17,49.16,183.19, 11th, Never-married, Prof-specialty, White, Female,25.0, United-States, <=50K.
61,83.98,190.11, Masters, Married-civ-spouse, Tech-support, White, Female,40.0, United-States, >50K.
56,56.42,182.83, HS-grad, Widowed, Craft-repair, White, Male,40.0, United-States, <=50K.
50,58.51,173.75, HS-grad, Never-married, Exec-managerial, White, Male,51.0, United-States, <=50K.
32,77.48,138.89, Assoc-voc, Married-civ-spouse, Craft-repair, Amer-Indian-Eskimo, Male,42.0, United-States, <=50K.
41,114.99,192.37, Some-college, Separated, Machine-op-inspct, Black, Male,40.0, United-States, <=50K.
41,113.77,138.62, Masters, Never-married, Prof-specialty, Black, Male,65.0, United-States, <=50K.
19,97.98,141.02, 10th, Never-married, Handlers-cleaners, White, Male,20.0, United-States, <=50K.
18,70.46,135.34, HS-grad, Never-married, Handlers-cleaners, White, Male,20.0, United-States, <=50K.
25,104.25,178.03, Bachelors, Never-married, Adm-clerical, Black, Female,40.0, United-States, <=50K.
21,76.61,144.08, HS-grad, Never-married, Other-service, Other, Female,35.0, El-Salvador, <=50K.
34,74.34,191.99, Bachelors, Married-civ-spouse, Prof-specialty, White, Male,40.0, United-States, >50K.
31,83.17,151.67, 9th, Married-civ-spouse, Farming-fishing, White, Male,65.0, United-States, <=50K.
36,59.56,149.2, HS-grad, Married-civ-spouse, Craft-repair, White, Male,60.0, United-States, <=50K.
19,92.01,191.64, Some-college, Never-married, Other-service, White, Female,30.0, United-States, <=50K.
35,108.67,178.86, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, White, Male,45.0, United-States, <=50K.
18,62.03,171.71, HS-grad, Never-married,, White, Female,35.0, United-States, <=50K.
39,77.68,166.34, HS-grad, Divorced, Sales, White, Female,40.0, United-States, <=50K.
30,101.2,134.35, Assoc-voc, Married-civ-spouse, Exec-managerial, White, Female,34.0, United-States, >50K.
59,93.17,191.97, Bachelors, Married-civ-spouse, Craft-repair, White, Male,50.0, United-States, >50K.
28,115.21,157.64, Some-college, Separated, Adm-clerical, Black, Female,30.0, United-States, <=50K.
47,45.88,154.32, Doctorate, Never-married, Prof-specialty, White, Female,23.0, United-States, <=50K.
27,89.88,167.77, Bachelors, Never-married, Prof-specialty, White, Male,40.0, United-States, <=50K.
56,80.85,151.73, HS-grad, Married-civ-spouse, Craft-repair, Black, Male,52.0, United-States, >50K.
18,98.3,165.0, HS-grad, Never-married, Sales, White, Female,20.0, United-States, <=50K.
76,45.16,143.93, 10th, Married-civ-spouse,, White, Male,15.0, United-States, <=50K.
56,66.68,189.23, HS-grad, Married-civ-spouse, Adm-clerical, White, Female,24.0, United-States, >50K.
40,90.54,145.02, Bachelors, Never-married, Exec-managerial, White, Male,65.0, United-States, >50K.
39,68.4,147.28, Some-college, Married-civ-spouse, Prof-specialty, Black, Male,40.0, Haiti, >50K.
24,58.4,156.62, HS-grad, Never-married, Other-service, White, Male,40.0, United-States, <=50K.
23,61.12,157.96, HS-grad, Never-married, Adm-clerical, White, Female,40.0, United-States, <=50K.
36,84.37,165.81, HS-grad, Married-civ-spouse, Farming-fishing, White, Male,60.0, United-States, <=50K.
55,61.79,163.01, Some-college, Married-civ-spouse, Adm-clerical, White, Male,40.0, United-States, <=50K.
23,80.82,132.1, Some-college, Married-civ-spouse, Sales, White, Male,40.0, United-States, <=50K.
39,49.65,159.47, Bachelors, Married-civ-spouse, Sales, White, Male,50.0, United-States, >50K.
32,93.91,135.54, HS-grad, Divorced, Craft-repair, White, Male,40.0, United-States, <=50K.
32,71.15,172.0, HS-grad, Married-civ-spouse, Other-service, White, Male,40.0, Trinadad&Tobago, <=50K.
17,96.02,172.68, 11th, Never-married, Handlers-cleaners, White, Male,32.0, United-States, <=50K.
29,80.68,140.55, Bachelors, Married-civ-spouse, Exec-managerial, White, Female,35.0, United-States, <=50K.
54,91.85,155.58, HS-grad, Married-civ-spouse, Handlers-cleaners, White, Male,40.0, United-States, <=50K.
37,109.31,168.94, Assoc-acdm, Divorced, Adm-clerical, White, Female,40.0, United-States, <=50K.
67,95.39,144.98, Bachelors, Married-civ-spouse,, White, Male,50.0, United-States, >50K.
48,80.02,164.96, Masters, Never-married, Adm-clerical, White, Female,20.0, United-States, <=50K.
17,75.07,141.57, 10th, Never-married, Other-service, White, Female,25.0, United-States, <=50K.
41,60.44,173.4, HS-grad, Divorced, Other-service, White, Male,40.0, United-States, <=50K.
43,59.42,155.51, Assoc-acdm, Divorced, Exec-managerial, White, Female,60.0, United-States, <=50K.
29,100.57,180.31, HS-grad, Never-married, Machine-op-inspct, Black, Female,40.0, United-States, <=50K.
43,81.85,150.87, Bachelors, Married-civ-spouse, Transport-moving, White, Male,70.0, United-States, >50K.
46,50.95,186.71, HS-grad, Divorced, Exec-managerial, White, Male,42.0, United-States, <=50K.
42,56.3,170.22, HS-grad, Never-married, Machine-op-inspct, Black, Female,40.0, United-States, <=50K.
36,72.11,170.69, Bachelors, Married-civ-spouse, Sales, White, Male,40.0, United-States, >50K.
31,93.34,178.96, HS-grad, Married-civ-spouse, Craft-repair, White, Male,75.0, United-States, <=50K.
60,101.76,181.14, 11th, Married-civ-spouse, Sales, White, Male,70.0, United-States, >50K.
50,76.18,138.86, Assoc-voc, Married-civ-spouse, Farming-fishing, Asian-Pac-Islander, Male,40.0, United-States, >50K.
30,104.87,159.38, Some-college, Separated, Machine-op-inspct, White, Male,40.0, United-States, <=50K.
22,63.09,178.6, HS-grad, Married-civ-spouse, Transport-moving, White, Male,50.0, United-States, <=50K.
57,54.31,178.33, Bachelors, Married-civ-spouse, Exec-managerial, Other, Male,37.0, United-States, <=50K.
43,49.68,172.74, Bachelors, Divorced, Prof-specialty, Black, Male,38.0, United-States, <=50K.
58,45.5,163.63, Some-college, Married-civ-spouse, Transport-moving, White, Male,70.0, United-States, <=50K.
26,86.19,168.62, Bachelors, Never-married, Prof-specialty, White, Male,40.0, United-States, <=50K.
26,62.56,139.72, Some-college, Married-civ-spouse, Machine-op-inspct, Amer-Indian-Eskimo, Male,40.0, United-States, <=50K.
38,56.93,145.0, Some-college, Never-married, Exec-managerial, White, Female,50.0, United-States, >50K.
26,78.04,164.63, Bachelors, Never-married, Prof-specialty, White, Male,40.0, Scotland, <=50K.
59,100.08,165.38, HS-grad, Married-civ-spouse, Sales, White, Male,50.0, United-States, >50K.
41,50.3,159.34, Some-college, Married-spouse-absent, Other-service, White, Male,40.0, United-States, <=50K.
21,57.41,158.65, Some-college, Never-married, Tech-support, Black, Female,4.0, United-States, <=50K.
30,101.79,188.13, HS-grad, Separated, Handlers-cleaners, Black, Male,40.0, United-States, <=50K.
36,81.46,135.53, Some-college, Married-civ-spouse, Handlers-cleaners, White, Male,80.0, United-States, <=50K.
43,98.85,141.57, Some-college, Married-civ-spouse, Craft-repair, White, Male,44.0, United-States, >50K.
68,113.31,134.11, 7th-8th, Married-civ-spouse, Farming-fishing, White, Male,30.0, United-States, <=50K.
18,73.62,177.76, HS-grad, Never-married, Other-service, White, Female,30.0, United-States, <=50K.
23,88.73,143.13, Bachelors, Never-married, Exec-managerial, White, Female,30.0, United-States, <=50K.
43,45.91,132.29, Masters, Married-civ-spouse, Prof-specialty, White, Male,40.0, United-States, >50K.
44,54.26,136.9, HS-grad, Divorced, Other-service, White, Female,30.0, United-States, <=50K.
43,51.63,183.06, Some-college, Married-civ-spouse, Sales, White, Male,55.0, United-States, <=50K.
59,89.11,162.35, HS-grad, Married-civ-spouse, Sales, White, Male,40.0, United-States, <=50K.
35,91.49,187.76, 7th-8th, Married-spouse-absent, Other-service, White, Male,25.0, Mexico, <=50K.
61,94.25,157.14, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Male,40.0, United-States, >50K.
52,71.37,170.82, Some-college, Married-civ-spouse, Exec-managerial, White, Male,60.0, United-States, >50K.
37,114.56,158.2, HS-grad, Married-civ-spouse, Craft-repair, White, Male,40.0, United-States, >50K.
57,92.0,132.71, Some-college, Married-spouse-absent, Sales, Asian-Pac-Islander, Female,90.0, United-States, >50K.
30,45.33,163.76, Masters, Never-married, Prof-specialty, Black, Female,20.0, United-States, <=50K.
38,55.9,137.34, Assoc-voc, Never-married, Farming-fishing, White, Male,50.0, United-States, <=50K.
46,62.34,146.37, Some-college, Divorced, Other-service, White, Female,35.0, United-States, <=50K.
22,68.36,172.83, HS-grad, Never-married, Other-service, White, Male,40.0, United-States, <=50K.
64,46.96,174.27, Some-college, Divorced, Tech-support, Black, Female,40.0, United-States, <=50K.
45,91.5,134.01, Assoc-voc, Divorced, Sales, White, Male,50.0, United-States, <=50K.
31,104.38,156.38, Some-college, Married-civ-spouse, Protective-serv, Black, Male,50.0, United-States, >50K.
20,115.32,188.36, HS-grad, Never-married, Craft-repair, White, Male,60.0, United-States, <=50K.
29,88.69,158.84, Some-college, Never-married, Sales, White, Male,35.0, United-States, <=50K.
23,109.67,151.98, Some-college, Never-married, Exec-managerial, White, Male,20.0, United-States, <=50K.
62,91.37,146.3, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,40.0, United-States, <=50K.
41,50.44,171.24, Some-college, Married-civ-spouse, Farming-fishing, White, Male,60.0, United-States, >50K.
42,86.03,190.53, Bachelors, Never-married, Prof-specialty, White, Male,40.0, United-States, <=50K.
31,69.22,145.15, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,45.0, United-States, >50K.
25,100.6,137.91, Bachelors, Never-married, Sales, White, Male,50.0, United-States, <=50K.
61,81.0,138.22, 10th, Never-married, Transport-moving, White, Male,40.0, United-States, <=50K.
27,92.65,191.97, Bachelors, Never-married, Adm-clerical, White, Male,40.0, United-States, <=50K.
40,51.0,158.44, HS-grad, Married-civ-spouse, Transport-moving, Black, Male,50.0, United-States, <=50K.
49,60.51,157.12, HS-grad, Divorced, Other-service, White, Male,40.0, United-States, <=50K.
21,108.48,190.8, Some-college, Never-married, Craft-repair, White, Male,45.0, United-States, <=50K.
22,60.09,169.84, Bachelors, Never-married, Prof-specialty, Black, Male,20.0, United-States, <=50K.
24,51.56,189.82, Assoc-voc, Never-married, Sales, White, Male,55.0, United-States, <=50K.
37,62.13,165.9, Assoc-voc, Divorced, Other-service, White, Female,4.0, United-States, <=50K.
46,106.01,137.02, Assoc-voc, Married-civ-spouse, Exec-managerial, White, Male,40.0, United-States, >50K.
35,59.17,133.92, Bachelors, Married-civ-spouse, Sales, White, Male,40.0, United-States, >50K.
41,72.94,166.61, Assoc-acdm, Married-civ-spouse, Exec-managerial, White, Male,50.0, United-States, >50K.
23,111.77,160.53, Some-college, Never-married, Machine-op-inspct, White, Male,40.0, United-States, <=50K.
34,114.06,159.39, HS-grad, Married-civ-spouse, Sales, White, Male,60.0, United-States, <=50K.
39,113.31,185.59, Some-college, Married-civ-spouse, Exec-managerial, White, Female,40.0, United-States, >50K.
29,73.16,143.58, HS-grad, Divorced, Other-service, White, Female,35.0, United-States, <=50K.
24,64.2,166.94, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Male,40.0, United-States, <=50K.
54,85.9,137.6, HS-grad, Divorced, Other-service, White, Female,40.0, United-States, <=50K.
28,80.75,171.5, Some-college, Never-married, Sales, White, Female,40.0, United-States, <=50K.
25,79.12,191.23, 11th, Never-married, Sales, White, Male,40.0, United-States, <=50K.
50,80.4,171.89, Some-college, Divorced, Tech-support, White, Female,40.0, United-States, <=50K.
59,69.04,174.87, HS-grad, Married-civ-spouse, Craft-repair, White, Male,42.0, United-States, >50K.
58,73.82,142.92, Bachelors, Married-civ-spouse, Prof-specialty, White, Male,47.0, United-States, >50K.
55,47.56,179.95, Some-college, Married-civ-spouse, Exec-managerial, White, Male,40.0, United-States, >50K.
58,50.03,134.85, Some-college, Married-civ-spouse, Handlers-cleaners, White, Male,40.0, United-States, >50K.
46,47.08,148.68, Bachelors, Separated, Prof-specialty, White, Female,42.0, United-States, >50K.
40,60.32,192.75, Some-college, Married-civ-spouse, Exec-managerial, White, Male,50.0, United-States, >50K.
40,88.31,156.95, Assoc-voc, Married-civ-spouse, Craft-repair, White, Male,40.0, United-States, <=50K.
57,94.42,142.37, HS-grad, Divorced, Adm-clerical, White, Female,40.0, United-States, <=50K.
46,93.4,135.44, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Male,40.0, United-States, <=50K.
36,85.67,182.76, HS-grad, Never-married, Craft-repair, White, Male,40.0, United-States, <=50K.
29,59.17,166.79, Some-college, Never-married, Other-service, White, Female,40.0, United-States, <=50K.
32,56.38,137.93, HS-grad, Never-married, Adm-clerical, Black, Female,40.0, United-States, <=50K.
24,57.28,180.63, HS-grad, Never-married, Craft-repair, White, Male,35.0, United-States, <=50K.
63,81.34,137.53, Masters, Married-civ-spouse, Prof-specialty, Other, Male,40.0, India, >50K.
23,60.47,138.83, Some-college, Never-married, Other-service, White, Female,15.0, United-States, <=50K.
36,90.43,172.56, HS-grad, Divorced, Other-service, White, Female,40.0, United-States, <=50K.
31,65.4,139.12, Bachelors, Never-married, Sales, White, Female,50.0, United-States, >50K.
52,97.06,138.69, Some-college, Married-civ-spouse, Farming-fishing, White, Male,72.0, United-States, >50K.
60,48.82,147.16, 10th, Divorced, Adm-clerical, White, Female,40.0, United-States, <=50K.
29,53.85,188.86, HS-grad, Never-married,, Black, Male,40.0, United-States, <=50K.
31,63.13,138.54, HS-grad, Married-spouse-absent, Handlers-cleaners, White, Male,40.0, Mexico, <=50K.
35,101.16,184.52, HS-grad, Never-married, Adm-clerical, White, Female,40.0, United-States, <=50K.
24,58.18,157.03, Bachelors, Never-married, Exec-managerial, White, Female,40.0, United-States, <=50K.
38,55.08,182.27, Some-college, Divorced, Adm-clerical, White, Male,40.0, United-States, <=50K.
42,66.18,183.54, HS-grad, Never-married, Other-service, Amer-Indian-Eskimo, Male,40.0, United-States, <=50K.
44,84.44,185.16, Some-college, Divorced,, Amer-Indian-Eskimo, Male,50.0, United-States, <=50K.
24,80.63,184.12, HS-grad, Never-married, Handlers-cleaners, White, Male,20.0, United-States, <=50K.
42,108.75,156.76, Bachelors, Divorced, Prof-specialty, White, Female,37.0, United-States, <=50K.
54,45.17,151.47, 5th-6th, Divorced, Machine-op-inspct, White, Female,40.0, Nicaragua, <=50K.
19,54.29,187.43, HS-grad, Never-married, Other-service, White, Male,40.0, United-States, <=50K.
20,90.82,146.06, Some-college, Never-married, Other-service, White, Female,20.0, United-States, <=50K.
21,82.81,163.44, Assoc-voc, Never-married, Machine-op-inspct, White, Male,40.0, United-States, <=50K.
30,48.6,187.33, HS-grad, Married-civ-spouse, Handlers-cleaners, White, Male,40.0, United-States, <=50K.
26,75.15,134.27, 11th, Never-married,, White, Male,40.0, United-States, <=50K.
34,61.88,169.52, HS-grad, Married-civ-spouse, Craft-repair, White, Male,78.0, United-States, <=50K.
22,65.29,172.5, Some-college, Never-married, Other-service, White, Male,35.0, United-States, <=50K.
45,93.23,139.79, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,40.0, United-States, <=50K.
32,69.7,155.49, Some-college, Never-married, Adm-clerical, Asian-Pac-Islander, Female,40.0, China, <=50K.
28,59.73,156.54, Some-college, Never-married, Exec-managerial, White, Male,60.0, United-States, <=50K.
31,48.54,160.57, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,40.0, United-States, <=50K.
40,53.95,170.88, HS-grad, Married-civ-spouse, Exec-managerial, White, Male,50.0, United-States, >50K.
30,81.68,157.04, Some-college, Married-civ-spouse, Craft-repair, White, Male,50.0, United-States, <=50K.
28,92.93,189.19, Assoc-voc, Never-married, Exec-managerial, White, Female,23.0, United-States, <=50K.
47,79.31,159.2, HS-grad, Divorced,, White, Female,40.0, United-States, <=50K.
21,86.83,150.67, Some-college, Never-married, Machine-op-inspct, White, Male,44.0, United-States, <=50K.
25,52.71,141.92, Bachelors, Never-married, Prof-specialty, White, Male,35.0, Guatemala, <=50K.
47,51.56,156.49, HS-grad, Married-civ-spouse, Craft-repair, White, Male,50.0, United-States, <=50K.
50,88.39,175.75, Bachelors, Married-civ-spouse, Prof-specialty, White, Male,50.0, United-States, >50K.
23,89.21,147.46, HS-grad, Never-married, Sales, Black, Male,20.0, United-States, <=50K.
54,67.31,152.79, HS-grad, Married-civ-spouse, Sales, White, Male,70.0, United-States, <=50K.
24,87.8,179.91, HS-grad, Never-married, Other-service, Black, Male,36.0, United-States, <=50K.
50,62.28,174.6, Assoc-voc, Widowed, Exec-managerial, White, Female,55.0,, <=50K.
29,114.24,156.31, Bachelors, Married-civ-spouse, Adm-clerical, White, Male,40.0, United-States, <=50K.
36,74.17,145.9, Assoc-voc, Never-married, Prof-specialty, White, Female,40.0, United-States, <=50K.
46,63.42,159.78, Assoc-voc, Divorced, Exec-managerial, White, Male,40.0, United-States, <=50K.
39,94.31,135.82, Bachelors, Married-civ-spouse, Prof-specialty, White, Male,30.0, United-States, <=50K.
46,94.72,165.01, Some-college, Married-civ-spouse, Handlers-cleaners, White, Male,45.0, United-States, <=50K.
36,66.78,160.54, Assoc-voc, Divorced, Exec-managerial, White, Female,60.0, United-States, <=50K.
64,55.83,183.77, HS-grad, Widowed, Adm-clerical, White, Female,37.0, United-States, <=50K.
51,75.24,167.35, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,45.0, United-States, >50K.
57,114.06,163.8, Assoc-voc, Divorced, Machine-op-inspct, Black, Male,40.0, United-States, <=50K.
21,107.45,173.92, HS-grad, Never-married, Adm-clerical, White, Female,25.0, United-States, <=50K.
53,88.22,157.05, HS-grad, Married-civ-spouse, Craft-repair, White, Male,45.0, United-States, >50K.
61,53.24,168.15, Masters, Married-civ-spouse, Exec-managerial, White, Male,30.0, United-States, <=50K.
50,89.29,137.89, HS-grad, Married-spouse-absent, Adm-clerical, White, Female,40.0, United-States, <=50K.
74,103.6,154.91, Some-college, Divorced, Sales, White, Female,30.0, United-States, >50K.
22,45.58,167.44, Some-college, Never-married, Adm-clerical, White, Female,8.0, United-States, <=50K.
25,92.18,174.55, HS-grad, Never-married, Farming-fishing, White, Male,40.0, United-States, <=50K.
63,72.16,164.25, Masters, Separated, Prof-specialty, White, Male,40.0, United-States, >50K.
38,90.52,149.76, Some-college, Divorced, Prof-specialty, White, Male,40.0, United-States, <=50K.
46,51.93,140.61, Masters, Married-civ-spouse, Prof-specialty, White, Male,50.0, United-States, >50K.
31,110.43,187.47, HS-grad, Never-married, Exec-managerial, White, Male,40.0,, <=50K.
35,68.57,172.55, Some-college, Never-married, Other-service, Black, Male,84.0, United-States, <=50K.
54,59.63,146.86, Bachelors, Married-civ-spouse, Prof-specialty, White, Male,40.0, United-States, <=50K.
50,67.73,144.93, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Male,48.0, United-States, >50K.
37,105.06,160.06, Some-college, Never-married, Exec-managerial, Black, Female,40.0, United-States, <=50K.
37,112.06,182.71, HS-grad, Divorced, Other-service, White, Female,40.0, United-States, <=50K.
29,68.74,138.09, Bachelors, Never-married, Sales, White, Male,50.0, United-States, <=50K.
56,110.75,177.4, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Male,40.0, United-States, >50K.
52,58.02,166.03, HS-grad, Married-civ-spouse, Transport-moving, White, Male,66.0, United-States, >50K.
40,93.87,143.89, Bachelors, Never-married, Exec-managerial, White, Female,40.0, Columbia, <=50K.
29,104.26,157.06, Masters, Married-civ-spouse, Prof-specialty, White, Male,40.0, United-States, >50K.
46,103.5,152.59, HS-grad, Married-civ-spouse, Farming-fishing, White, Male,40.0, United-States, <=50K.
49,53.36,182.67, Assoc-voc, Married-civ-spouse, Craft-repair, Black, Male,50.0, United-States, <=50K.
37,95.13,154.22, Some-college, Divorced, Sales, White, Female,45.0, United-States, <=50K.
36,108.35,166.39, Bachelors, Married-civ-spouse, Craft-repair, White, Male,35.0, United-States, <=50K.
32,77.71,178.77, Some-college, Married-civ-spouse, Craft-repair, White, Male,40.0, United-States, >50K.
53,95.57,162.43, HS-grad, Married-civ-spouse, Tech-support, White, Male,40.0, Italy, <=50K.
18,58.68,190.85, 11th, Never-married, Sales, Black, Male,8.0, United-States, <=50K.
48,72.97,176.57, HS-grad, Married-civ-spouse, Adm-clerical, White, Female,20.0, United-States, <=50K.
26,74.21,166.01, HS-grad, Divorced, Craft-repair, White, Male,40.0, United-States, <=50K.
64,77.68,188.85, Masters, Married-civ-spouse,, Black, Female,50.0, Jamaica, >50K.
49,53.29,136.81, HS-grad, Separated, Adm-clerical, Black, Female,40.0, United-States, <=50K.
41,76.77,138.67, HS-grad, Never-married, Sales, White, Female,40.0, United-States, <=50K.
20,113.49,134.86, Some-college, Never-married, Craft-repair, White, Male,10.0, United-States, <=50K.
56,109.43,137.9, HS-grad, Divorced, Prof-specialty, White, Female,48.0, United-States, <=50K.
33,89.02,182.54, Some-college, Married-civ-spouse, Handlers-cleaners, Black, Male,35.0,, <=50K.
29,84.25,163.24, Assoc-acdm, Never-married, Adm-clerical, Black, Female,40.0, United-States, <=50K.
29,55.74,180.74, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Male,40.0, United-States, <=50K.
55,52.69,192.77, HS-grad, Divorced, Craft-repair, White, Male,40.0, United-States, >50K.
26,67.7,176.12, Bachelors, Never-married, Sales, White, Female,45.0, United-States, <=50K.
32,84.43,190.75, Bachelors, Never-married, Exec-managerial, White, Female,46.0, United-States, >50K.
33,86.94,139.99, HS-grad, Never-married, Machine-op-inspct, White, Male,55.0, United-States, <=50K.
54,69.17,176.97, Masters, Married-civ-spouse, Prof-specialty, White, Male,45.0, United-States, >50K.
20,88.74,191.72, Some-college, Never-married,, White, Female,30.0, United-States, <=50K.
33,57.05,161.2, 12th, Married-civ-spouse, Craft-repair, White, Male,16.0, United-States, <=50K.
44,103.1,133.29, Some-college, Married-civ-spouse, Machine-op-inspct, White, Male,57.0, United-States, <=50K.
47,57.78,182.04, HS-grad, Married-civ-spouse, Adm-clerical, White, Male,40.0, United-States, >50K.
90,113.89,188.78, Prof-school, Widowed, Prof-specialty, White, Male,60.0, United-States, <=50K.
26,50.58,180.42, 5th-6th, Never-married, Prof-specialty, White, Male,14.0, Mexico, <=50K.
44,62.22,147.99, HS-grad, Married-civ-spouse, Other-service, Asian-Pac-Islander, Male,40.0, Thailand, <=50K.
33,72.98,158.55, Assoc-acdm, Never-married, Other-service, White, Male,60.0, Scotland, <=50K.
28,114.02,148.61, Some-college, Separated, Craft-repair, White, Male,50.0, United-States, <=50K.
26,51.59,175.48, Some-college, Divorced, Adm-clerical, White, Female,18.0, United-States, <=50K.
33,83.27,140.21, HS-grad, Married-civ-spouse, Craft-repair, White, Male,40.0, United-States, <=50K.
39,71.0,138.5, 9th, Married-civ-spouse, Handlers-cleaners, White, Male,40.0, United-States, <=50K.
34,113.94,190.16, Some-college, Married-civ-spouse, Farming-fishing, White, Female,30.0, United-States, <=50K.
70,108.52,142.21, Some-college, Married-civ-spouse, Exec-managerial, White, Male,40.0, United-States, >50K.
18,50.01,146.5, Some-college, Never-married, Other-service, White, Male,30.0, United-States, <=50K.
20,78.66,142.68, 7th-8th, Never-married, Handlers-cleaners, White, Male,40.0,, <=50K.
65,59.15,171.08, 9th, Married-civ-spouse, Exec-managerial, White, Male,40.0, United-States, <=50K.
52,45.06,182.29, 10th, Married-civ-spouse, Machine-op-inspct, White, Male,48.0, United-States, <=50K.
48,45.26,141.76, Masters, Married-civ-spouse, Sales, White, Male,50.0, United-States, >50K.
47,83.29,145.8, HS-grad, Married-civ-spouse, Handlers-cleaners, White, Male,40.0, United-States, <=50K.
21,88.85,138.69, Some-college, Never-married, Prof-specialty, White, Male,30.0, United-States, <=50K.
25,72.82,168.78, HS-grad, Never-married, Adm-clerical, White, Female,45.0, United-States, <=50K.
59,82.13,134.23, HS-grad, Married-spouse-absent, Priv-house-serv, White, Female,36.0, Poland, <=50K.
63,86.72,150.47, 7th-8th, Married-civ-spouse, Farming-fishing, White, Male,70.0, United-States, >50K.
34,57.64,188.2, HS-grad, Never-married, Sales, White, Male,50.0, United-States, <=50K.
44,70.06,165.91, Bachelors, Married-civ-spouse, Craft-repair, White, Male,40.0, United-States, <=50K.
45,53.77,176.19, Bachelors, Married-civ-spouse, Farming-fishing, White, Male,60.0, United-States, <=50K.
48,51.23,151.0, Bachelors, Married-civ-spouse, Sales, White, Male,40.0, United-States, >50K.
61,68.67,161.75, HS-grad, Widowed, Adm-clerical, White, Female,40.0, United-States, <=50K.
44,103.44,165.14, Assoc-voc, Married-civ-spouse, Farming-fishing, White, Male,40.0, United-States, <=50K.
42,65.53,162.03, Some-college, Never-married, Exec-managerial, White, Male,40.0, United-States, <=50K.
40,84.98,152.05, Assoc-voc, Married-civ-spouse, Other-service, White, Male,15.0, United-States, <=50K.
22,94.65,161.58, Masters, Never-married, Sales, White, Female,21.0, United-States, <=50K.
19,115.63,181.48, Some-college, Never-married, Machine-op-inspct, White, Female,20.0, United-States, <=50K.
25,52.49,168.63, HS-grad, Never-married, Machine-op-inspct, White, Female,40.0, United-States, <=50K.
28,113.99,159.78, Bachelors, Never-married, Exec-managerial, White, Male,60.0, United-States, <=50K.
33,80.2,133.44, HS-grad, Married-civ-spouse, Sales, White, Male,40.0, United-States, >50K.
29,71.58,140.31, Some-college, Divorced, Handlers-cleaners, White, Male,40.0, United-States, <=50K.
19,63.05,186.91, HS-grad, Never-married, Machine-op-inspct, White, Male,40.0, Mexico, <=50K.
48,78.07,178.48, Some-college, Married-civ-spouse, Exec-managerial, White, Male,60.0, United-States, >50K.
43,52.67,174.76, Some-college, Married-civ-spouse, Craft-repair, White, Male,40.0, United-States, >50K.
42,61.16,136.81, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,40.0, United-States, >50K.
63,72.45,177.6, HS-grad, Married-civ-spouse, Prof-specialty, White, Female,25.0, United-States, <=50K.
25,46.81,139.46, Bachelors, Never-married, Prof-specialty, White, Female,50.0, United-States, <=50K.
41,48.7,150.21, Assoc-voc, Married-civ-spouse, Craft-repair, White, Male,65.0, United-States, <=50K.
66,61.04,177.98, HS-grad, Never-married, Tech-support, White, Female,15.0, United-States, <=50K.
59,111.36,173.75, Some-college, Married-civ-spouse, Craft-repair, White, Male,40.0, United-States, >50K.
29,64.33,162.94, Masters, Never-married, Prof-specialty, Black, Female,35.0, United-States, <=50K.
29,87.59,150.74, Preschool, Never-married,, Black, Male,40.0, South, <=50K.
44,69.82,136.34, HS-grad, Divorced, Craft-repair, White, Male,40.0, United-States, <=50K.
29,60.58,174.36, 11th, Separated, Other-service, Black, Female,40.0, United-States, <=50K.
41,107.46,183.72, HS-grad, Never-married, Craft-repair, White, Male,42.0, United-States, >50K.
44,48.89,153.59, Assoc-voc, Divorced, Exec-managerial, White, Female,40.0, United-States, <=50K.
37,87.41,135.78, Bachelors, Married-civ-spouse, Sales, White, Male,50.0, United-States, >50K.
70,70.06,142.14, HS-grad, Married-civ-spouse, Exec-managerial, White, Male,22.0, United-States, <=50K.
25,115.55,141.63, Bachelors, Never-married, Prof-specialty, White, Male,30.0, United-States, <=50K.
42,57.03,176.17, Some-college, Divorced, Craft-repair, White, Male,30.0, United-States, <=50K.
47,56.53,157.47, Bachelors, Married-civ-spouse, Prof-specialty, White, Female,40.0, United-States, >50K.
21,57.1,164.48, Some-college, Never-married, Adm-clerical, White, Male,30.0, United-States, <=50K.
72,114.91,192.17, Some-college, Widowed, Other-service, White, Female,35.0, United-States, <=50K.
56,80.62,133.23, 7th-8th, Married-civ-spouse, Transport-moving, White, Male,40.0, United-States, <=50K.
52,45.08,177.02, HS-grad, Divorced, Craft-repair, White, Male,40.0, United-States, <=50K.
